velocity,gain,r2
1.0,1.2890843436602384,0.9000883276592396
2.0,1.39610072846499,0.9462200215712275
3.0,1.3856807548040775,0.9305592772579453
4.0,1.4068702699467268,0.946989210070968
5.0,1.4120049694199897,0.9561461996122719
6.0,1.4459527580420375,0.9608764660151994
7.0,1.4706444167449364,0.9580253072394407
8.0,1.4330671553965593,0.9284987523102546
9.0,1.4486534154754984,0.9480825913414279
10.0,1.477883653979757,0.9560415829532555
11.0,1.4712625466002753,0.9536906143454953
12.0,1.4801092182069173,0.9499440418017492
13.0,1.481856265397604,0.9444381003901966
14.0,1.5182439114177926,0.9535868753053373
15.0,1.5341615359676508,0.9616644892278873
16.0,1.535539438222505,0.9502845658261928
17.0,1.5702657689463968,0.9492054548691347
18.0,1.5877627679278992,0.9513152391236684
19.0,1.5922705880426609,0.943719830623353
20.0,1.6146547019939257,0.9573815640977665
21.0,1.6151038690624828,0.933625105713809
22.0,1.645418335793533,0.9580702116827226
23.0,1.65986730808062,0.9544291947917998
24.0,1.7332535080833964,0.9455341847191875
25.0,1.7150464300505384,0.9456886193691958
26.0,1.7862896289137689,0.9567303814197231
27.0,1.7910325217889993,0.9533243983557347
28.0,1.8500636364248255,0.9354859400385281
29.0,1.8592977261053778,0.9471946722043266
30.0,1.8966265656203534,0.9612456211258926
31.0,2.026563771247794,0.943298163607228
32.0,1.991494685900233,0.9366459445088555
33.0,1.9981226107326615,0.9420609315183391
34.0,2.082673481077431,0.9337752487042389
35.0,2.154107755923269,0.9370769023872463
36.0,2.2091766709107676,0.9428596160918036
37.0,2.2334251597757135,0.9545130402129121
38.0,2.308321802229482,0.9112494497908017
39.0,2.3915712165878706,0.9362374517871564
40.0,2.405239876716135,0.9111672991038143
