speed_group,lataccel_cost,jerk_cost,total_cost
speed_0_4,0.10890045086135182,1.9056054755937293,7.35062801866132
speed_4_9,1.2176784745961202,17.792480380461072,78.67640411026709
speed_8_12,0.6435864215161975,9.126263820088527,41.305584895898406
speed_12_16,2.181452919459915,63.90860934821818,172.98125532121392
speed_16_20,0.633452641047432,11.655428909186696,43.32806096155831
speed_20_24,0.7394943937240316,17.61905032521266,54.59377001141424
speed_24_28,0.889057705393747,20.169551011128505,64.62243628081585
speed_28_32,0.809172293849073,25.110577316463317,65.56919200891697
speed_32_36,1.1188173026896373,35.52257607293975,91.4634412074216
speed_36_40,1.3414290281995778,42.55929371065613,109.63074512063501
